num_genero,genero,titulo,tipo,archivo_mp3,ficha_letra,url
035,Sentimiento_Musical_Multilingue,Instrumental Chino Mandarín,instrumental,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/035-Instrumental_Chino_Mandarín.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/035-Instrumental_Chino_Mandarín.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139876/Instrumental_Chino_Mandar%C3%ADn_lwz3ar.mp3
036,Sentimiento_Musical_Multilingue,EternidadenJazz ESPAÑOL,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/036-EternidadenJazz_ESPAÑOL.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/036-EternidadenJazz_ESPAÑOL.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139886/EternidadenJazz_ESPA%C3%91OL_x7t9bt.mp3
037,Sentimiento_Musical_Multilingue,Casa nel Cuore ITALIANO,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/037-Casa_nel_Cuore_ITALIANO.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/037-Casa_nel_Cuore_ITALIANO.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139881/Casa_nel_Cuore_ITALIANO_vmwkke.mp3
038,Sentimiento_Musical_Multilingue,Casa nel Cuore ITALIANO V1,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/038-Casa_nel_Cuore_ITALIANO_V1.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/038-Casa_nel_Cuore_ITALIANO_V1.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139875/Casa_nel_Cuore_ITALIANO_V1_qjqado.mp3
039,Sentimiento_Musical_Multilingue,AwakenedVerses,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/039-AwakenedVerses.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/039-AwakenedVerses.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139874/AwakenedVerses_fhveib.mp3
040,Sentimiento_Musical_Multilingue,Ascendancy,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/040-Ascendancy.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/040-Ascendancy.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139880/Ascendancy_azoasx.mp3
041,Sentimiento_Musical_Multilingue,Amor Raro ruso,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/041-Amor_Raro_ruso.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/041-Amor_Raro_ruso.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139853/Amor_Raro_ruso_qnbx2k.mp3
042,Sentimiento_Musical_Multilingue,Amor Raro portugues,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/042-Amor_Raro_portugues.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/042-Amor_Raro_portugues.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139857/Amor_Raro_portugues_ylvv1c.mp3
043,Sentimiento_Musical_Multilingue,Amor Raro latín,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/043-Amor_Raro_latín.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/043-Amor_Raro_latín.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139854/Amor_Raro_lat%C3%ADn_adpwsj.mp3
044,Sentimiento_Musical_Multilingue,Amor Raro japonés,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/044-Amor_Raro_japonés.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/044-Amor_Raro_japonés.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139855/Amor_Raro_japon%C3%A9s_ujfpbp.mp3
045,Sentimiento_Musical_Multilingue,Amor Raro italiano,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/045-Amor_Raro_italiano.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/045-Amor_Raro_italiano.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139853/Amor_Raro_italiano_krueiz.mp3
046,Sentimiento_Musical_Multilingue,Amor Raro ingles,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/046-Amor_Raro_ingles.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/046-Amor_Raro_ingles.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139851/Amor_Raro_ingles_uue8vo.mp3
047,Sentimiento_Musical_Multilingue,Amor Raro hindú,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/047-Amor_Raro_hindú.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/047-Amor_Raro_hindú.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139852/Amor_Raro_hind%C3%BA_pddbdo.mp3
048,Sentimiento_Musical_Multilingue,Amor Raro hebreo,con_letra_o_voz,01-FONOGRAMAS/Sentimiento_Musical_Multilingue/048-Amor_Raro_hebreo.mp3,02-LETRAS/Sentimiento_Musical_Multilingue/048-Amor_Raro_hebreo.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776139851/Amor_Raro_hebreo_qca15t.mp3
